dateid01,dateid,cpi,gdp,infl,lgdp,lgdp_gap,mpr,rer,rer_gap
1999-07-01,1999-09-30 23:59:59.999,93.2,1014408,2.1929824561403464,13.829815749069332,-0.0015806169944561078,4.50,83.60,0.25263201644887088
1999-10-01,1999-12-31 23:59:59.999,93.8,1034844,2.4017467248908408,13.849761248683826,0.0039557086483164024,4.62,84.09,0.88773743878685712
2000-01-01,2000-03-31 23:59:59.999,94.4,1061500,2.7203482045701888,13.875193560125448,0.014991339123517022,4.94,85.72,2.6161015322754224
2000-04-01,2000-06-30 23:59:59.999,94.8,1091420,2.3758099352051864,13.902990158653412,0.028458902300965148,5.49,84.74,1.6830930869717662
2000-07-01,2000-09-30 23:59:59.999,95.7,1114248,2.682403433476388,13.923690295877866,0.034943432814474208,5.75,84.95,1.8824458294754008
2000-10-01,2000-12-31 23:59:59.999,96.7,1125496,3.091684434968034,13.933734385346598,0.03091334042153804,5.75,83.04,-0.10315844679355734
2001-01-01,2001-03-31 23:59:59.999,96.9,1140272,2.6483050847457612,13.94677738840229,0.030029743029048816,5.41,82.81,-0.48221447705839184
2001-04-01,2001-06-30 23:59:59.999,98.2,1143228,3.5864978902953704,13.949366397950058,0.018826569268567184,4.70,82.58,-0.94315252251314512
2001-07-01,2001-09-30 23:59:59.999,98.2,1129176,2.6123301985371052,13.93699872115048,-0.0072308065622710416,4.11,82.14,-1.70410146030369
2001-10-01,2001-12-31 23:59:59.999,97.7,1126652,1.0341261633919352,13.93476096095488,-0.023099480980894428,2.73,80.33,-3.9326006972492848
2002-01-01,2002-03-31 23:59:59.999,98.4,1146256,1.5479876160990668,13.952011536999308,-0.019460214565897972,2.04,80.07,-4.7151245767565232
2002-04-01,2002-06-30 23:59:59.999,99.5,1172900,1.323828920570258,13.974989872509596,-0.010098327130476648,2.29,81.66,-3.755689566796164
2002-07-01,2002-09-30 23:59:59.999,100.6,1190740,2.4439918533604832,13.990085520559398,-0.0086368460059027536,2.71,80.42,-5.7353651824785176
2002-10-01,2002-12-31 23:59:59.999,101.5,1213896,3.8894575230296712,14.00934557971612,-0.0030349415752439768,2.75,80.11,-6.8928736329346376
2003-01-01,2003-03-31 23:59:59.999,102.8,1236748,4.4715447154471512,14.027995911946946,0.0019323772069856916,2.83,82.71,-5.243352524056476
2003-04-01,2003-06-30 23:59:59.999,102.2,1226376,2.7135678391959848,14.019574036876632,-0.020196344117671572,3.21,88.80,-0.19763141571539224
2003-07-01,2003-09-30 23:59:59.999,102.8,1250652,2.1868787276341896,14.03917557329249,-0.014325668580882578,2.96,90.00,-0.12326277245522022
2003-10-01,2003-12-31 23:59:59.999,103.2,1261540,1.6748768472906406,14.047843754844342,-0.019399921636724216,2.75,93.51,2.1923244608150156
2004-01-01,2004-03-31 23:59:59.999,103.7,1285244,0.87548638132295408,14.066459141554394,-0.014517148824038984,2.47,92.63,0.06177837841904932
2004-04-01,2004-06-30 23:59:59.999,104.5,1317244,2.2504892367906092,14.091052233117146,-0.0036133310583430504,2.03,90.38,-3.4836231281073396
2004-07-01,2004-09-30 23:59:59.999,104.8,1341116,1.9455252918287868,14.109012661132674,0.00074375586842734272,2.06,93.81,-1.3826407787149578
2004-10-01,2004-12-31 23:59:59.999,105.6,1356156,2.3255813953488192,14.120164785113184,-0.0015766775916059572,2.45,99.64,3.0981419711004748
2005-01-01,2005-03-31 23:59:59.999,106.0,1369004,2.2179363548698204,14.129594026107076,-0.0054448242975482232,2.50,98.92,1.0230058163299986
2005-04-01,2005-06-30 23:59:59.999,106.4,1389064,1.81818181818183,14.144140696988896,-0.0039749998588582968,2.50,98.04,-1.2057048867672648
2005-07-01,2005-09-30 23:59:59.999,107.5,1426936,2.57633587786259,14.171040046118944,0.010116818615946598,2.57,101.95,1.3737148394325516
2005-10-01,2005-12-31 23:59:59.999,108.0,1457836,2.2727272727272708,14.192463702370846,0.019053518906590128,3.03,104.97,3.0937235381076392
2006-01-01,2006-03-31 23:59:59.999,108.7,1472772,2.5471698113207488,14.202656897313442,0.01712526847637541,3.51,106.49,3.3559211806615252
2006-04-01,2006-06-30 23:59:59.999,109.1,1479332,2.5375939849624052,14.207101192499266,0.0098466563229866464,4.04,109.02,4.6799741612864664
2006-07-01,2006-09-30 23:59:59.999,109.2,1492184,1.5813953488372112,14.215751376538798,0.007194795209244376,4.25,108.96,3.4734514234366572
2006-10-01,2006-12-31 23:59:59.999,109.5,1503384,1.388888888888884,14.223229125125306,0.0038075308205485216,4.25,107.03,0.4609969267154952
2007-01-01,2007-03-31 23:59:59.999,110.7,1534276,1.8399264029438812,14.2435691664985,0.013731264641737794,4.25,103.94,-3.6449162764132552
2007-04-01,2007-06-30 23:59:59.999,111.4,1563248,2.1081576535288748,14.26227626604283,0.022480055595638148,4.25,110.59,2.0578967434349948
2007-07-01,2007-09-30 23:59:59.999,111.5,1570572,2.1062271062270988,14.266950442182182,0.017654633604088588,4.48,115.69,6.2838989883174744
2007-10-01,2007-12-31 23:59:59.999,112.2,1595504,2.4657534246575352,14.282700231748374,0.024350196962119596,4.42,122.31,12.106267274826764
2008-01-01,2008-03-31 23:59:59.999,112.6,1625088,1.7163504968382926,14.301072526125862,0.034089264371390372,3.90,118.55,7.624250982687784
2008-04-01,2008-06-30 23:59:59.999,114.1,1666924,2.4236983842010672,14.326490569811812,0.051255488773179536,3.11,117.13,5.5495330745787184
2008-07-01,2008-09-30 23:59:59.999,115.4,1682400,3.4977578475336336,14.335731903370628,0.052565513385776088,3.00,114.25,2.0690313563136728
2008-10-01,2008-12-31 23:59:59.999,114.3,1609484,1.8716577540106804,14.29142418869613,0.00055406807641666944,2.15,100.20,-12.543804824464828
2009-01-01,2009-03-31 23:59:59.999,113.9,1549496,1.1545293072824148,14.253440274728712,-0.045031783686964032,0.94,97.86,-15.426819264712024
2009-04-01,2009-06-30 23:59:59.999,114.2,1545180,0.08764241893077784,14.250650966382188,-0.055447368755553224,0.30,103.80,-10.020015883367804
2009-07-01,2009-09-30 23:59:59.999,114.5,1565028,-0.77989601386482256,14.263414273170144,-0.050432664515954072,0.25,109.37,-4.9737568373316064
2009-10-01,2009-12-31 23:59:59.999,115.2,1608324,0.78740157480314816,14.290703200961466,-0.031077997393996524,0.25,113.07,-1.7821417735756882
2010-01-01,2010-03-31 23:59:59.999,115.8,1642716,1.668129938542573,14.31186152754395,-0.01807140148128994,0.25,115.50,0.1638382589509746
2010-04-01,2010-06-30 23:59:59.999,115.8,1650856,1.4010507880910738,14.316804499231644,-0.021510018594824488,0.33,118.06,2.274306049907736
2010-07-01,2010-09-30 23:59:59.999,116.6,1661048,1.8340611353711676,14.32295928643195,-0.023967771832303696,0.76,116.06,-0.13071800995780336
2010-10-01,2010-12-31 23:59:59.999,117.8,1696408,2.256944444444442,14.344023632440352,-0.011734567641726202,1.00,118.07,1.527365028820796
2011-01-01,2011-03-31 23:59:59.999,118.6,1735788,2.4179620034542328,14.366972046929532,0.0021914337634960644,1.00,120.96,4.1272358144662176
2011-04-01,2011-06-30 23:59:59.999,119.7,1752816,3.3678756476684056,14.376734195473672,0.0027745621762385044,1.00,122.40,5.346620392058284
2011-07-01,2011-09-30 23:59:59.999,120.1,1783352,3.0017152658662116,14.394005297439018,0.010743331535341128,1.00,121.03,3.8306652842926784
2011-10-01,2011-12-31 23:59:59.999,120.9,1808100,2.6315789473684292,14.407787128139246,0.015131077625733624,1.00,116.76,-0.508824623879832
2012-01-01,2012-03-31 23:59:59.999,121.5,1817004,2.4451939291737056,14.412699548806816,0.010582507568900112,1.00,119.53,2.267561386688726
2012-04-01,2012-06-30 23:59:59.999,121.5,1822996,1.5037593984962294,14.415991859472984,0.0043623103616070576,1.00,118.94,1.7595520505362856
2012-07-01,2012-09-30 23:59:59.999,121.6,1836764,1.248959200666122,14.42351588561218,0.0023310863765804156,1.00,120.82,3.7954588763341232
2012-10-01,2012-12-31 23:59:59.999,122.1,1848148,0.99255583126549584,14.429694614557094,-0.001082128599165344,1.00,120.89,4.092493652721984
2013-01-01,2013-03-31 23:59:59.999,122.6,1873676,0.9053497942386856,14.443412834623744,0.003012045275717412,1.00,119.43,2.9254960065418204
2013-04-01,2013-06-30 23:59:59.999,122.4,1879352,0.74074074074075296,14.44643759453897,-0.00361407541621972,1.00,118.17,2.0167477561027168
2013-07-01,2013-09-30 23:59:59.999,123.0,1903152,1.1513157894736948,14.45902201697188,-0.00070398267844851144,1.00,116.35,0.5967022847097496
2013-10-01,2013-12-31 23:59:59.999,123.3,1918856,0.98280098280099088,14.46723973309141,-0.002178401217483028,1.00,114.83,-0.48544749167962208
2014-01-01,2014-03-31 23:59:59.999,124.2,1950844,1.3050570962479746,14.48377265741297,0.0046506675958113416,1.00,109.37,-5.480881596035928
2014-04-01,2014-06-30 23:59:59.999,125.2,1969404,2.2875816993463972,14.493241516869232,0.0044113963085745664,1.00,110.52,-3.8504766466473656
2014-07-01,2014-09-30 23:59:59.999,125.6,1992024,2.1138211382113692,14.504661765246872,0.0061237776547127256,1.00,111.16,-2.7216837108046688
2014-10-01,2014-12-31 23:59:59.999,125.6,1992640,1.8653690186536844,14.504970950666224,-0.0032728584209245072,1.00,108.04,-5.3495473078945256
