dateid01,dateid,gdp,infl,lgdp,lgdp_gap,mpr,rer,rer_gap
2006-01-01,2006-03-31 23:59:59.999,251408,3.0,12.434832396429914,-0.0078271489642123264,5.50,124.7,-1.0263621575560648
2006-04-01,2006-06-30 23:59:59.999,255388,4.0,12.450539236355362,-0.011067885535810618,5.75,124.6,-2.446298302319562
2006-07-01,2006-09-30 23:59:59.999,261995,3.8,12.476080698591668,-0.004393773763695208,6.00,126.6,-1.743141165663502
2006-10-01,2006-12-31 23:59:59.999,268817,3.3,12.50178612967893,0.0025753667441748008,6.25,127.9,-1.7198211897613192
2007-01-01,2007-03-31 23:59:59.999,275805,2.5,12.52744937325605,0.0096869595872401952,6.25,129.9,-0.97817935355809024
2007-04-01,2007-06-30 23:59:59.999,280482,2.0,12.544264830762838,0.0081873765616276016,6.25,135.9,3.7810182522446496
2007-07-01,2007-09-30 23:59:59.999,284806,1.8,12.559563525713774,0.0054535571883924664,6.50,137.7,4.3576168990413464
2007-10-01,2007-12-31 23:59:59.999,290518,3.0,12.579420815488782,0.0076016577436863744,6.75,141.4,6.8490987218189328
2008-01-01,2008-03-31 23:59:59.999,297699,4.3,12.603838187911898,0.014670556474531082,7.25,141.3,5.5502223450022824
2008-04-01,2008-06-30 23:59:59.999,305804,4.6,12.630699652836286,0.024576902621001652,7.25,145.9,8.95146570631536
2008-07-01,2008-09-30 23:59:59.999,315724,5.0,12.662623693196028,0.039962649406296792,7.00,141.1,2.9398378545165544
2008-10-01,2008-12-31 23:59:59.999,316019,3.7,12.663557617343796,0.02478321490807822,4.25,113.3,-26.103246827702192
2009-01-01,2009-03-31 23:59:59.999,315723,2.3,12.662620525867654,0.008140832783512408,3.25,114.8,-25.898211356307984
2009-04-01,2009-06-30 23:59:59.999,311118,1.4,12.647927540421206,-0.021881731754007204,3.00,128.6,-13.449164218000618
2009-07-01,2009-09-30 23:59:59.999,312495,1.2,12.652343748030592,-0.032456836139031608,3.00,137.7,-5.744027517382136
2009-10-01,2009-12-31 23:59:59.999,319293,2.1,12.673864455506096,-0.025612941939623824,3.75,147.1,2.237682368581744
2010-01-01,2010-03-31 23:59:59.999,326226,2.9,12.695345671694744,-0.018497523164514364,4.00,148.4,2.1200390801236324
2010-04-01,2010-06-30 23:59:59.999,338034,3.1,12.730901761122124,0.0030163099448348164,4.50,146.8,-0.87428229400418896
2010-07-01,2010-09-30 23:59:59.999,343757,2.9,12.747690291391946,0.0061102111770718896,4.50,147.6,-1.4239316894745854
2010-10-01,2010-12-31 23:59:59.999,349153,2.6,12.763265500532842,0.0083606195520449232,4.75,155.9,5.5929873844734176
2011-01-01,2011-03-31 23:59:59.999,352736,3.3,12.773475180763042,0.0056337093972107512,4.75,158.0,6.4992613759065992
2011-04-01,2011-06-30 23:59:59.999,362234,3.7,12.800045690815482,0.019668996167522936,4.75,163.6,11.014181115776438
2011-07-01,2011-09-30 23:59:59.999,369508,3.4,12.819927670015584,0.027426754842025504,4.75,160.1,6.5529753966744408
2011-10-01,2011-12-31 23:59:59.999,369633,3.0,12.82026590047822,0.016049110066607142,4.25,157.9,3.5239891479946552
2012-01-01,2012-03-31 23:59:59.999,371668,1.6,12.825756261645758,0.010212142092878906,4.25,164.4,9.331471689508192
2012-04-01,2012-06-30 23:59:59.999,376396,1.2,12.838397059644334,0.011884327162425378,3.50,159.0,3.377469847768708
2012-07-01,2012-09-30 23:59:59.999,376411,1.9,12.838436910495884,0.0012780688238240856,3.50,164.2,8.1581982795239296
2012-10-01,2012-12-31 23:59:59.999,377465,2.2,12.841233128141106,-0.0062929591600688896,3.00,162.5,6.1677607228667168
2013-01-01,2013-03-31 23:59:59.999,380550,2.5,12.849372853695538,-0.0082860546445751024,3.00,165.5,8.9951620419650448
2013-04-01,2013-06-30 23:59:59.999,386160,2.4,12.864007070334374,-0.003590740325883246,2.75,160.7,4.1255522505350656
2013-07-01,2013-09-30 23:59:59.999,389111,2.3,12.87161992894056,-0.0057581924082814592,2.50,150.0,-6.5615406139832256
2013-10-01,2013-12-31 23:59:59.999,395028,2.6,12.886711927446908,-0.00032099583349598504,2.50,151.4,-5.0891669843064736
2014-01-01,2014-03-31 23:59:59.999,398795,2.9,12.896202779378384,-0.00038892108083032896,2.50,147.7,-8.6762763302675696
2014-04-01,2014-06-30 23:59:59.999,399738,3.1,12.898564611483902,-0.0075191247832506752,2.50,153.0,-3.2386373923341408
2014-07-01,2014-09-30 23:59:59.999,399500,2.2,12.897969044188466,-0.017569026821954382,2.50,152.5,-3.5865962382674752
2014-10-01,2014-12-31 23:59:59.999,401757,1.6,12.903602707218968,-0.021376338323264576,2.50,146.2,-9.72847478745868
